,Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,PERIODIC_BREATHING,labels_periodic
0,"05:30:10AM Feb 7, 2022",98,78,0,0,0,0,0
1,"05:30:14AM Feb 7, 2022",98,79,0,0,0,0,0
2,"05:30:18AM Feb 7, 2022",98,78,0,0,0,0,0
3,"05:30:22AM Feb 7, 2022",98,77,0,0,0,0,0
4,"05:30:26AM Feb 7, 2022",98,77,0,0,0,0,0
5,"05:30:30AM Feb 7, 2022",98,75,9,0,0,0,0
6,"05:30:34AM Feb 7, 2022",98,75,3,0,0,0,0
7,"05:30:38AM Feb 7, 2022",98,75,2,0,0,0,0
8,"05:30:42AM Feb 7, 2022",98,75,0,0,0,0,0
9,"05:30:46AM Feb 7, 2022",98,75,0,0,0,0,0
10,"05:30:50AM Feb 7, 2022",98,75,1,0,0,0,0
11,"05:30:54AM Feb 7, 2022",98,82,0,0,0,0,0
12,"05:30:58AM Feb 7, 2022",98,85,0,0,0,0,0
13,"05:31:02AM Feb 7, 2022",98,77,0,0,0,0,0
14,"05:31:06AM Feb 7, 2022",98,76,0,0,0,0,0
15,"05:31:10AM Feb 7, 2022",98,77,0,0,0,0,0
16,"05:31:14AM Feb 7, 2022",98,77,0,0,0,0,0
17,"05:31:18AM Feb 7, 2022",98,78,0,0,0,0,0
18,"05:31:22AM Feb 7, 2022",98,78,0,0,0,0,0
19,"05:31:26AM Feb 7, 2022",98,82,7,0,0,0,0
20,"05:31:30AM Feb 7, 2022",98,82,29,0,0,0,0
21,"05:31:34AM Feb 7, 2022",98,82,31,0,0,0,0
22,"05:31:38AM Feb 7, 2022",98,81,9,0,0,0,0
23,"05:31:42AM Feb 7, 2022",98,81,14,0,0,0,0
24,"05:31:46AM Feb 7, 2022",98,81,52,0,0,0,0
25,"05:31:50AM Feb 7, 2022",98,81,21,0,0,0,0
26,"05:31:54AM Feb 7, 2022",98,81,1,0,0,0,0
27,"05:31:58AM Feb 7, 2022",98,73,0,0,0,0,0
28,"05:32:02AM Feb 7, 2022",99,70,0,0,0,0,0
29,"05:32:06AM Feb 7, 2022",99,77,0,0,0,0,0
30,"05:32:10AM Feb 7, 2022",98,80,0,0,0,0,0
