,Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,PERIODIC_BREATHING,labels_periodic
92,"02:02:11AM Feb 6, 2022",97,80,0,0,0,0,0
93,"02:02:15AM Feb 6, 2022",97,71,0,0,0,0,0
94,"02:02:19AM Feb 6, 2022",96,66,0,0,0,0,0
95,"02:02:23AM Feb 6, 2022",96,72,0,0,0,0,0
96,"02:02:27AM Feb 6, 2022",96,70,0,0,0,0,0
97,"02:02:31AM Feb 6, 2022",96,67,0,0,0,0,0
98,"02:02:35AM Feb 6, 2022",96,67,0,0,0,0,0
99,"02:02:39AM Feb 6, 2022",97,67,0,0,0,0,0
100,"02:02:43AM Feb 6, 2022",97,70,0,0,0,0,0
101,"02:02:47AM Feb 6, 2022",97,71,0,0,0,0,0
102,"02:02:51AM Feb 6, 2022",97,71,0,0,0,0,0
103,"02:02:55AM Feb 6, 2022",97,71,0,0,0,0,0
104,"02:02:59AM Feb 6, 2022",98,67,0,0,0,0,0
105,"02:03:03AM Feb 6, 2022",98,65,0,0,0,0,0
106,"02:03:07AM Feb 6, 2022",98,66,0,0,0,0,0
107,"02:03:11AM Feb 6, 2022",98,70,0,0,0,0,0
108,"02:03:15AM Feb 6, 2022",97,67,0,0,0,0,0
109,"02:03:19AM Feb 6, 2022",97,66,0,0,0,0,0
110,"02:03:23AM Feb 6, 2022",97,69,0,0,0,0,0
111,"02:03:27AM Feb 6, 2022",97,75,0,0,0,0,0
112,"02:03:31AM Feb 6, 2022",97,78,0,0,0,0,0
113,"02:03:35AM Feb 6, 2022",97,73,0,0,0,0,0
114,"02:03:39AM Feb 6, 2022",97,65,0,0,0,0,0
115,"02:03:43AM Feb 6, 2022",97,70,0,0,0,0,0
116,"02:03:47AM Feb 6, 2022",97,71,0,0,0,0,0
117,"02:03:51AM Feb 6, 2022",97,75,0,0,0,0,0
118,"02:03:55AM Feb 6, 2022",97,72,0,0,0,0,0
119,"02:03:59AM Feb 6, 2022",97,69,0,0,0,0,0
120,"02:04:03AM Feb 6, 2022",97,65,0,0,0,0,0
121,"02:04:07AM Feb 6, 2022",97,66,0,0,0,0,0
122,"02:04:11AM Feb 6, 2022",97,72,0,0,0,0,0
123,"02:04:15AM Feb 6, 2022",97,73,0,0,0,0,0
124,"02:04:19AM Feb 6, 2022",97,74,0,0,0,0,0
125,"02:04:23AM Feb 6, 2022",97,73,0,0,0,0,0
126,"02:04:27AM Feb 6, 2022",97,73,0,0,0,0,0
127,"02:04:31AM Feb 6, 2022",97,72,0,0,0,0,0
128,"02:04:35AM Feb 6, 2022",97,69,0,0,0,0,0
129,"02:04:39AM Feb 6, 2022",97,72,0,0,0,0,0
130,"02:04:43AM Feb 6, 2022",97,75,0,0,0,0,0
131,"02:04:47AM Feb 6, 2022",97,72,0,0,0,0,0
132,"02:04:51AM Feb 6, 2022",97,72,0,0,0,0,0
133,"02:04:55AM Feb 6, 2022",97,73,0,0,0,0,0
134,"02:04:59AM Feb 6, 2022",97,67,0,0,0,0,0
135,"02:05:03AM Feb 6, 2022",97,68,0,0,0,0,0
136,"02:05:07AM Feb 6, 2022",97,77,0,0,0,0,0
137,"02:05:11AM Feb 6, 2022",97,76,0,0,0,0,0
138,"02:05:15AM Feb 6, 2022",98,67,0,0,0,0,0
139,"02:05:19AM Feb 6, 2022",98,66,0,0,0,0,0
140,"02:05:23AM Feb 6, 2022",97,68,0,0,0,0,0
141,"02:05:27AM Feb 6, 2022",97,75,0,0,0,0,0
142,"02:05:31AM Feb 6, 2022",97,76,0,0,0,0,0
143,"02:05:35AM Feb 6, 2022",97,73,0,0,0,0,0
144,"02:05:39AM Feb 6, 2022",97,71,0,0,0,0,0
145,"02:05:43AM Feb 6, 2022",97,71,0,0,0,0,0
146,"02:05:47AM Feb 6, 2022",97,75,0,0,0,0,0
147,"02:05:51AM Feb 6, 2022",97,75,0,0,0,0,0
148,"02:05:55AM Feb 6, 2022",97,70,0,0,0,0,0
149,"02:05:59AM Feb 6, 2022",97,64,0,0,0,0,0
150,"02:06:03AM Feb 6, 2022",97,71,0,0,0,0,0
151,"02:06:07AM Feb 6, 2022",97,70,0,0,0,0,0
152,"02:06:11AM Feb 6, 2022",98,65,0,0,0,0,0
153,"02:06:15AM Feb 6, 2022",97,73,0,0,0,0,0
154,"02:06:19AM Feb 6, 2022",97,78,0,0,0,0,0
155,"02:06:23AM Feb 6, 2022",98,78,0,0,0,0,0
156,"02:06:27AM Feb 6, 2022",97,73,0,0,0,0,0
157,"02:06:31AM Feb 6, 2022",97,73,0,0,0,0,0
158,"02:06:35AM Feb 6, 2022",97,72,0,0,0,0,0
159,"02:06:39AM Feb 6, 2022",97,71,0,0,0,0,0
160,"02:06:43AM Feb 6, 2022",97,67,0,0,0,0,0
161,"02:06:47AM Feb 6, 2022",97,69,0,0,0,0,0
162,"02:06:51AM Feb 6, 2022",97,74,0,0,0,0,0
163,"02:06:55AM Feb 6, 2022",97,72,0,0,0,0,0
164,"02:06:59AM Feb 6, 2022",97,70,0,0,0,0,0
165,"02:07:03AM Feb 6, 2022",97,72,0,0,0,0,0
166,"02:07:07AM Feb 6, 2022",97,77,0,0,0,0,0
167,"02:07:11AM Feb 6, 2022",97,76,0,0,0,0,0
168,"02:07:15AM Feb 6, 2022",98,72,0,0,0,0,0
169,"02:07:19AM Feb 6, 2022",98,68,0,0,0,0,0
170,"02:07:23AM Feb 6, 2022",98,69,0,0,0,0,0
171,"02:07:27AM Feb 6, 2022",98,71,0,0,0,0,0
172,"02:07:31AM Feb 6, 2022",97,69,0,0,0,0,0
173,"02:07:35AM Feb 6, 2022",97,68,0,0,0,0,0
174,"02:07:39AM Feb 6, 2022",97,69,0,0,0,0,0
175,"02:07:43AM Feb 6, 2022",97,66,0,0,0,0,0
176,"02:07:47AM Feb 6, 2022",97,72,0,0,0,0,0
177,"02:07:51AM Feb 6, 2022",97,74,0,0,0,0,0
178,"02:07:55AM Feb 6, 2022",97,74,0,0,0,0,0
179,"02:07:59AM Feb 6, 2022",97,71,0,0,0,0,0
180,"02:08:03AM Feb 6, 2022",98,70,0,0,0,0,0
181,"02:08:07AM Feb 6, 2022",98,71,0,0,0,0,0
182,"02:08:11AM Feb 6, 2022",98,73,0,0,0,0,0
183,"02:08:15AM Feb 6, 2022",98,73,0,0,0,0,0
184,"02:08:19AM Feb 6, 2022",98,77,0,0,0,0,0
185,"02:08:23AM Feb 6, 2022",98,76,0,0,0,0,0
186,"02:08:27AM Feb 6, 2022",98,73,0,0,0,0,0
187,"02:08:31AM Feb 6, 2022",98,60,0,0,0,0,0
188,"02:08:35AM Feb 6, 2022",98,62,0,0,0,0,0
189,"02:08:39AM Feb 6, 2022",98,66,0,0,0,0,0
190,"02:08:43AM Feb 6, 2022",98,70,0,0,0,0,0
191,"02:08:47AM Feb 6, 2022",98,71,0,0,0,0,0
192,"02:08:51AM Feb 6, 2022",98,74,0,0,0,0,0
193,"02:08:55AM Feb 6, 2022",98,74,0,0,0,0,0
194,"02:08:59AM Feb 6, 2022",98,76,0,0,0,0,0
195,"02:09:03AM Feb 6, 2022",98,70,0,0,0,0,0
196,"02:09:07AM Feb 6, 2022",97,68,0,0,0,0,0
197,"02:09:11AM Feb 6, 2022",98,66,0,0,0,0,0
